sex,old,education,work_year,work_month,work_industry,work_kind,work_class,comp_type,contract_term,contract_paper,time_regular,time_is,time_week_offi,time_over,income_when,income_type,income_bonus,income,force,jobin_1,jobin_2,jobin_3,jobin_4,jobin_5,jobin_6,jobin_7,jobin_8,jobin_9,skill_2,skill_3,train,certificate,marriage,religion,wave_month,wave_date,wave_year,seoul,satisfy,tenure,sum_welfare
Female,32,High School,2000,4,Retail,Officer,Regular Worker,Private Company,Unlimited,Received,Regular,Yes,54.0,Yes,Month,Month,No,70.0,No,Normal,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Very Bad,Low,Useless,Not Train,No Certificate,Married,Unknown,7,11,2001,Seoul,0,16.0,1
Female,47,High School,1999,11,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,54.0,Yes,Month,Month,No,80.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Bad,Low,Useful,Not Train,No Certificate,Married,Unknown,5,9,2001,Seoul,0,19.0,0
Male,54,High School,1999,3,Building,Skill,Day Worker,Private Company,Limited,Not Received,Regular,Yes,70.0,Yes,Month,Day,No,120.0,Unknown,Normal,Bad,Normal,Normal,Bad,Bad,Normal,Bad,Bad,Low,Very Useful,Not Train,No Certificate,Married,Unknown,6,24,2001,Seoul,1,28.0,0
Female,24,University,2001,2,Computing Data,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Year,Yes,110.0,No,Normal,Good,Normal,Normal,Normal,Good,Normal,Good,Good,Low,Useful,Did Train,Yes Certificate,Single,Unknown,6,23,2001,Seoul,0,5.0,6
Female,23,University,2001,4,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,No,Month,Month,No,100.0,No,Normal,Good,Good,Good,Good,Good,Good,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,8,12,2001,Seoul,0,4.0,4
Male,31,High School,2001,5,Retail,Sale,Regular Worker,Private Company,Unlimited,Unknown,Regular,Yes,60.0,Yes,Month,Month,No,132.0,No,Normal,Normal,Good,Good,Normal,Normal,Good,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,6,7,2001,Seoul,0,1.0,6
Male,40,University,2000,7,Building,Officer,Regular Worker,Private Company,Unlimited,Received,Regular,Yes,50.0,No,Month,Month,No,150.0,No,Normal,Good,Good,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,6,27,2001,Seoul,0,12.0,5
Male,46,Middle School,2001,6,Retail,Work,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,66.0,Yes,Month,Month,No,70.0,Yes,Very Bad,Normal,Bad,Bad,Bad,Normal,Normal,Normal,Bad,Low,Very Useless,Not Train,No Certificate,Married,Unknown,9,23,2001,Seoul,0,4.0,5
Male,49,Under Elementary School,1999,7,Retail,Work,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,84.0,No,Month,Month,No,130.0,No,Very Bad,Normal,Bad,Normal,Very Bad,Bad,Normal,Normal,Very Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,8,2001,Seoul,0,25.0,1
Female,38,High School,1999,11,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,54.0,Yes,Month,Month,No,80.0,No,Bad,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Bad,Suit,Useful,Not Train,No Certificate,Single,Unknown,4,24,2001,Seoul,0,18.0,1
Female,39,High School,2000,9,Retail,Sale,Day Worker,Private Company,Unlimited,Not Received,Regular,Yes,45.0,Yes,Whenever,Day,No,70.0,Yes,Bad,Very Bad,Normal,Normal,Normal,Very Bad,Normal,Very Bad,Very Bad,Low,Useful,Not Train,No Certificate,Married,Unknown,5,17,2001,Seoul,1,9.0,0
Male,26,College,2000,7,Computing Data,Skill,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,50.0,Yes,Month,Month,No,120.0,No,Bad,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Very Bad,Low,Useful,Not Train,No Certificate,Single,Unknown,7,7,2001,Seoul,0,12.0,0
Female,21,High School,1999,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,Yes,Month,Month,No,80.0,Yes,Normal,Normal,Normal,Good,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,8,11,2001,Seoul,0,30.0,5
Male,38,Middle School,1998,11,Building,Work,Day Worker,Freelancer,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Month,Day,No,90.0,No,Bad,Bad,Normal,Normal,Normal,Very Bad,Normal,Bad,Very Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,6,26,2001,Seoul,0,32.0,1
Male,59,Under Elementary School,1991,3,Building,Skill,Day Worker,Private Company,Unlimited,Not Received,Irregular,Yes,30.0,Yes,Whenever,Day,No,50.0,No,Normal,Bad,Bad,Normal,Normal,Bad,Normal,Bad,Very Bad,Suit,Useful,Not Train,No Certificate,"Separation, Divorce, Died",Unknown,4,29,2001,Seoul,0,124.0,0
Male,61,University,2000,6,Retail,Work,Regular Worker,Foreign Company,Limited,Not Received,Regular,Yes,84.0,Yes,Month,Month,No,70.0,Unknown,Bad,Normal,Normal,Normal,Normal,Bad,Good,Normal,Bad,Very Low,Useless,Not Train,No Certificate,"Separation, Divorce, Died",Unknown,8,12,2001,Seoul,0,15.0,2
Female,42,High School,1997,1,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,56.0,Yes,Month,Month,No,80.0,No,Normal,Normal,Normal,Normal,Normal,Bad,Bad,Bad,Bad,Suit,Useless,Not Train,No Certificate,Married,Unknown,7,14,2001,Seoul,0,55.0,3
Male,47,Under Elementary School,1995,4,Building,Skill,Day Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,Yes,Month,Year,No,130.0,No,Bad,Bad,Normal,Bad,Normal,Normal,Normal,Bad,Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,8,10,2001,Seoul,0,77.0,2
Male,46,High School,1999,5,Retail,Sale,Regular Worker,Private Company,Unknown,Not Received,Regular,No,43.5062369009892,Unknown,Month,Month,No,100.0,No,Very Bad,Bad,Bad,Bad,Very Bad,Bad,Normal,Bad,Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,8,2001,Seoul,0,27.0,3
Male,40,University,2000,9,Building,Officer,Regular Worker,Private Company,Unknown,Not Received,Regular,Yes,53.0,Yes,Month,Year,No,200.0,Unknown,Normal,Bad,Good,Normal,Normal,Normal,Bad,Bad,Bad,Suit,Very Useless,Not Train,No Certificate,Married,Unknown,5,22,2001,Seoul,1,9.0,6
Male,31,University,1998,10,Building,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Month,No,100.0,No,Bad,Good,Good,Normal,Good,Good,Good,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,5,27,2001,Seoul,0,32.0,8
Male,46,Under Elementary School,1999,8,Building,Farmer,Day Worker,Private Company,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Day,Month,No,100.0,No,Bad,Bad,Bad,Bad,Normal,Bad,Bad,Bad,Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,14,2001,Seoul,0,24.0,1
Female,54,High School,1993,3,Retail,Sale,Day Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,100.0,No,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Normal,Normal,Low,Very Useful,Not Train,No Certificate,Married,Unknown,7,20,2001,Seoul,0,102.0,1
Male,46,High School,2000,8,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,100.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,8,1,2001,Seoul,0,12.0,1
Male,61,Middle School,1999,3,Building,Skill,Temporary Worker,Private Company,Unlimited,Not Received,Irregular,Yes,40.0,Yes,Day,Day,No,90.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,7,20,2001,Seoul,0,29.0,0
Male,59,Middle School,1958,3,Building,Skill,Day Worker,Private Company,Unlimited,Not Received,Irregular,Yes,30.0,Yes,Week,Day,No,100.0,No,Normal,Bad,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,6,27,2001,Seoul,0,527.0,0
Male,29,High School,2000,7,Computing Data,Expert,Temporary Worker,Private Company,Unlimited,Not Received,Regular,No,43.5062369009892,Unknown,Month,Month,Unknown,60.0,No,Bad,Bad,Normal,Normal,Bad,Normal,Normal,Normal,Bad,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,6,1,2001,Seoul,0,11.0,1
Male,42,High School,1998,11,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,80.0,Yes,Month,Month,No,130.0,No,Bad,Normal,Normal,Normal,Bad,Normal,Normal,Normal,Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,4,27,2001,Seoul,0,30.0,2
Female,22,High School,2001,2,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,66.0,No,Month,Month,No,100.0,No,Good,Good,Good,Good,Normal,Good,Good,Good,Good,Suit,Useful,Not Train,No Certificate,Single,Unknown,6,25,2001,No Seoul,1,5.0,4
Female,41,College,1993,4,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,No,43.5062369009892,Unknown,Month,Month,No,108.0,No,Good,Good,Good,Good,Good,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,2,2001,Seoul,0,100.0,1
Male,30,High School,2001,1,Computing Data,Semi Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,54.0,Yes,Month,Month,Yes,100.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,10,2001,Seoul,0,6.0,8
Male,24,College,2001,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,70.0,Yes,Month,Month,No,80.0,No,Bad,Normal,Normal,Normal,Bad,Normal,Normal,Normal,Normal,Low,Useful,Not Train,No Certificate,Single,Unknown,7,18,2001,Seoul,0,5.0,2
Female,25,High School,2000,2,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,70.0,Yes,Month,Month,No,75.0,Unknown,Bad,Normal,Normal,Bad,Bad,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,8,26,2001,Seoul,0,19.0,2
Female,21,College,2000,3,Computing Data,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Month,No,70.0,No,Bad,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,8,26,2001,Seoul,0,18.0,3
Male,45,High School,1994,5,Building,Device,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,56.0,No,Month,Year,No,250.0,Yes,Normal,Normal,Good,Bad,Bad,Bad,Normal,Bad,Very Bad,Low,Very Useful,Not Train,No Certificate,Married,Unknown,7,22,2001,Seoul,0,88.0,8
Male,38,High School,2000,5,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,72.0,Yes,Month,Month,No,150.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,8,1,2001,Seoul,1,15.0,1
Female,42,High School,1999,7,Retail,Sale,Temporary Worker,Private Company,Unlimited,Not Received,Regular,Yes,36.0,Yes,Month,Month,No,50.0,No,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Low,Useful,Not Train,No Certificate,Married,Unknown,8,10,2001,Seoul,0,26.0,0
Male,29,High School,2000,2,Building,Semi Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,No,Month,Month,No,160.0,No,Bad,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,8,9,2001,Seoul,0,19.0,2
Female,27,University,2000,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,70.0,Yes,Month,Month,No,100.0,No,Bad,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,8,16,2001,Seoul,0,18.0,0
Male,51,High School,2001,6,Building,High Official,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,70.0,Yes,Month,Month,No,200.0,No,Normal,Bad,Normal,Normal,Bad,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,9,5,2001,Seoul,0,3.0,1
Female,30,High School,2001,5,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,66.0,Yes,Month,ETC,No,30.0,No,Bad,Normal,Good,Good,Normal,Very Bad,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,8,9,2001,Seoul,1,3.0,0
Female,30,College,2000,8,Retail,Skill,Regular Worker,Private Company,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Week,Week,No,20.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useless,Not Train,No Certificate,Married,Unknown,5,31,2001,Seoul,0,10.0,0
Female,22,University,2001,7,Retail,Officer,Day Worker,Private Company,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Month,Time,No,40.0,No,Bad,Normal,Normal,Normal,Good,Bad,Normal,Normal,Normal,Very Low,Very Useless,Not Train,No Certificate,Single,Unknown,8,25,2001,Seoul,0,2.0,0
Female,21,High School,2000,12,Retail,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Month,No,79.0,No,Normal,Good,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,Yes Certificate,Single,No,7,13,2001,Seoul,0,7.0,4
Female,27,University,1999,5,Computing Data,Officer,Day Worker,Government,Limited,Not Received,Regular,Yes,5.0,Yes,Week,Day,No,38.0,No,Bad,Very Bad,Good,Good,Good,Normal,Bad,Very Bad,Very Bad,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,7,25,2001,Seoul,0,27.0,0
Female,24,University,2001,1,Building,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Month,No,98.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Good,Good,Bad,Suit,Very Useless,Not Train,No Certificate,Single,Unknown,7,26,2001,Seoul,0,7.0,3
Male,24,College,2001,6,Computing Data,Semi Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,49.0,Yes,Month,Month,Yes,50.0,No,Very Bad,Very Bad,Bad,Bad,Normal,Normal,Normal,Very Bad,Very Bad,Suit,Very Useless,Not Train,No Certificate,Single,No,7,22,2001,Seoul,0,2.0,0
Male,31,College,1992,3,Computing Data,Skill,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,64.0,No,Month,Month,No,115.0,Yes,Normal,Good,Good,Normal,Normal,Normal,Good,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,7,29,2001,Seoul,1,115.0,6
Male,37,College,1998,1,Building,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,No,Month,Month,No,155.0,No,Normal,Normal,Normal,Normal,Very Bad,Normal,Good,Good,Bad,Suit,Very Useless,Not Train,No Certificate,Married,Unknown,8,25,2001,Seoul,0,44.0,5
Male,35,High School,1994,9,Building,Officer,Regular Worker,Private Company,Unlimited,Received,Regular,Yes,44.0,Yes,Month,Month,Yes,180.0,No,Bad,Normal,Normal,Good,Good,Good,Good,Good,Good,Suit,Very Useless,Not Train,No Certificate,Married,Unknown,7,16,2001,Seoul,1,84.0,12
Male,27,High School,2001,4,Retail,Semi Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,72.0,Yes,Month,Month,No,109.0,No,Bad,Normal,Normal,Normal,Bad,Bad,Normal,Normal,Bad,Suit,Very Useless,Not Train,No Certificate,Single,Unknown,8,4,2001,Seoul,0,4.0,3
Female,21,College,2001,5,Retail,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,106.0,No,Good,Good,Good,Good,Bad,Bad,Good,Very Bad,Very Bad,Suit,Useful,Not Train,No Certificate,Single,Unknown,7,12,2001,Seoul,1,2.0,2
Male,70,Under Elementary School,2001,3,Building,Work,Regular Worker,Private Company,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Day,Month,No,50.0,No,Very Bad,Very Bad,Normal,Bad,Normal,Bad,Bad,Very Bad,Very Bad,Suit,Very Useless,Not Train,No Certificate,Married,Unknown,8,4,2001,Seoul,0,5.0,0
Male,33,High School,1999,3,Building,Work,Day Worker,Private Company,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Whenever,Day,No,120.0,No,Bad,Bad,Bad,Bad,Normal,Bad,Normal,Very Bad,Very Bad,Low,Very Useless,Not Train,No Certificate,Single,Unknown,10,3,2001,Seoul,0,32.0,0
Male,58,High School,1982,9,Retail,Skill,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,100.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,5,25,2001,Seoul,0,228.0,6
Female,25,High School,2001,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,100.0,No,Normal,Normal,Bad,Bad,Bad,Bad,Bad,Normal,Bad,Low,Useful,Not Train,No Certificate,Single,Unknown,6,25,2001,Seoul,0,4.0,3
Female,52,High School,1999,6,Retail,Sale,Regular Worker,Corporation,Unlimited,Not Received,Regular,Yes,50.0,Yes,Month,Month,No,90.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,"Separation, Divorce, Died",Unknown,9,10,2001,Seoul,0,28.0,3
